"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"192","All climate time series","Lasso","p = 3","Scenario 3",0.250607530829569,71.3279464883166,"60",151
"193","Time series reconstruction","Light GBM","p = 5","Scenario 3",0.225734532867506,42.6213892886903,"30",181
"194","Time series reconstruction","Lasso","p = 5","Scenario 3",0.256353590670314,40.1172237377172,"30",181
"195","Time series reconstruction","Random Forests","p = 5","Scenario 3",0.294842742983804,39.0223919248876,"30",181
"196","Time series reconstruction","Light GBM","p = 5","Scenario 3",0.216559003622333,45.6130079907339,"60",151
"197","Time series reconstruction","Lasso","p = 5","Scenario 3",0.266221142738515,42.2217744726409,"60",151
"198","Time series reconstruction","Random Forests","p = 5","Scenario 3",0.295423208172871,41.4142594592818,"60",151
"199","Naive up to 3 lags","Light GBM","p = 5","Scenario 3",0.216808594961191,43.8618372392731,"30",181
"200","Naive up to 3 lags","Random Forests","p = 5","Scenario 3",0.324130215617936,38.0214911652519,"30",181
"201","Naive up to 3 lags","Lasso","p = 5","Scenario 3",0.303691322945899,38.8731800217716,"30",181
"202","Naive up to 3 lags","Light GBM","p = 5","Scenario 3",0.213679841530404,46.741736528059,"60",151
"203","Naive up to 3 lags","Random Forests","p = 5","Scenario 3",0.318630129298959,40.504968544405,"60",151
"204","Naive up to 3 lags","Lasso","p = 5","Scenario 3",0.308071516224732,41.1905776918767,"60",151
"205","Naive up to 6 lags","Light GBM","p = 5","Scenario 3",0.306237970769337,41.1327564545032,"30",181
"206","Naive up to 6 lags","Random Forests","p = 5","Scenario 3",0.404385751361508,35.9512705677647,"30",181
"207","Naive up to 6 lags","Lasso","p = 5","Scenario 3",0.317423734258051,38.8673937462086,"30",181
"208","Naive up to 6 lags","Light GBM","p = 5","Scenario 3",0.307869597785729,43.365684518734,"60",151
"209","Naive up to 6 lags","Random Forests","p = 5","Scenario 3",0.408011314673355,38.0998585527247,"60",151
"210","Naive up to 6 lags","Lasso","p = 5","Scenario 3",0.310953474482306,41.5774540000234,"60",151
"211","All climate time series","Light GBM","p = 5","Scenario 3",0.0297683939148886,52.7946971433618,"30",181
"212","All climate time series","Random Forests","p = 5","Scenario 3",0.0378395696930786,46.9053995531668,"30",181
"213","All climate time series","Lasso","p = 5","Scenario 3",0.0806243398745384,44.5533221213807,"30",181
"214","All climate time series","Light GBM","p = 5","Scenario 3",0.023055744792232,56.8374895341855,"60",151
"215","All climate time series","Random Forests","p = 5","Scenario 3",0.0373545150124664,49.8224488103128,"60",151
"216","All climate time series","Lasso","p = 5","Scenario 3",0.0683888958731622,47.6733393419046,"60",151
