"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Phi[6,10]",-0.0219470398141493,0.0580145867826467,-0.134683775495344,-0.0601544188487724,-0.0206045075649807,0.0168307292860763,0.0893813280086882,1.00851568612077,250
"Phi[7,10]",0.00334437969487679,0.0219540032295956,-0.0408635106554281,-0.0103525097158859,0.0040157912874291,0.0179599348163924,0.0453170603726453,1.00842131335738,260
"Phi[8,10]",-0.0998624164046627,0.077028054299042,-0.254477504901735,-0.149918940603487,-0.100516891582939,-0.0481446321310235,0.0541643107729756,1.01526781013818,140
"Phi[9,10]",0.0763948551890499,0.0733550814134984,-0.0723952267265017,0.0295370052274007,0.0768269780170261,0.12640093692539,0.211975386861046,1.08572640783809,29
"Phi[10,10]",0.572246663837099,0.0574052152046043,0.460715553428967,0.533791967043519,0.572001665988316,0.610417682266428,0.686986204901065,1.00479372747952,450
"Sigma[1,1]",7.42505300422152,0.758634799524673,6.12025021934059,6.90018998089614,7.36544512157024,7.89869683399131,9.15478418043736,1.02630735161818,83
"Sigma[2,1]",5.00476331224286,0.617533390857118,3.94748230983144,4.57319009410188,4.94818177455357,5.3726703019628,6.33145624973749,1.0390365912169,57
"Sigma[3,1]",6.03809598239606,0.643258701121264,4.96595376526759,5.59655762588226,5.9852498692293,6.43654448477766,7.51011806517891,1.02915698503921,75
"Sigma[4,1]",-31.44948217433,8.3352153550449,-48.5349838507218,-36.9782868776409,-31.1486604557734,-25.6903192376615,-16.2334159206853,1.00207572212011,1100
"Sigma[5,1]",-8.89249120566243,1.61283011870082,-12.1828178646379,-9.9199313417794,-8.7938021273955,-7.75514633687119,-6.03545059098446,1.0310130339795,72
"Sigma[6,1]",0.948513935230614,0.31489765194954,0.359212281618179,0.735802242567573,0.926083530723192,1.16314943019047,1.571694059468,1.00713508334823,300
"Sigma[7,1]",0.299467441787884,0.116181819538002,0.0797379972311251,0.219261063287104,0.295611205291431,0.374926860568945,0.541352013714305,1.00295628466974,760
"Sigma[8,1]",1.98364616878875,0.46745828412445,1.10583538072266,1.65323062945926,1.96154006431899,2.28265838038788,2.95144128464513,1.01591558134452,160
"Sigma[9,1]",4.82530646551595,0.526370689227931,3.93373916228968,4.45122146191882,4.77547922779023,5.15009196270096,5.96969529844809,1.02312948701987,91
"Sigma[10,1]",0.703724000981745,0.305838521924501,0.128764573214283,0.496481565130895,0.697122661517216,0.896179860939267,1.3264787866361,1.01053570280825,200
"Sigma[1,2]",5.00476331224286,0.617533390857118,3.94748230983144,4.57319009410188,4.94818177455357,5.3726703019628,6.33145624973749,1.0390365912169,57
"Sigma[2,2]",6.14603078002479,0.644963915387358,5.02942447072889,5.69346543877859,6.09075231993972,6.50642043186321,7.55344037743685,1.03982536796016,58
"Sigma[3,2]",5.39285784236445,0.590948587098345,4.38421722976652,4.98038551214903,5.33534393476947,5.74178544617513,6.71948668219996,1.0387219405147,59
"Sigma[4,2]",7.67589543310712,7.50306771334998,-7.20440914954948,2.53073054560189,7.67175294463666,12.6119461587564,22.7849475855828,1.00861733619784,240
"Sigma[5,2]",3.44231457346598,1.3489047690346,0.880017170682143,2.51374387103041,3.41329967521201,4.29554791077526,6.17424708104414,1.02464018463039,85
"Sigma[6,2]",1.0515813556477,0.288171444370307,0.514617782312267,0.848569333653635,1.04179475474219,1.24611303334005,1.6303087697837,1.00981303251493,210
"Sigma[7,2]",0.220658507558997,0.102124755167005,0.0316747804516247,0.150580883901548,0.215506864594448,0.286508958843636,0.434087292459518,1.00360651656314,610
"Sigma[8,2]",-1.31002212412362,0.411290466477544,-2.15362784405665,-1.57736171932074,-1.29813265713444,-1.03384176110038,-0.513689173816271,1.0134868466398,160
"Sigma[9,2]",3.75923718530891,0.466546937038982,2.98041497777163,3.4298263382742,3.71084357237657,4.05059427453201,4.80450151983175,1.03630547433764,63
"Sigma[10,2]",0.38312851621621,0.274739863750218,-0.123745532708763,0.187379149794579,0.377654342819103,0.56128519309739,0.940578986202921,1.00721409446047,290
"Sigma[1,3]",6.03809598239606,0.643258701121264,4.96595376526759,5.59655762588226,5.9852498692293,6.43654448477766,7.51011806517891,1.02915698503921,75
"Sigma[2,3]",5.39285784236445,0.590948587098345,4.38421722976652,4.98038551214903,5.33534393476947,5.74178544617513,6.71948668219996,1.0387219405147,59
"Sigma[3,3]",5.63718421940626,0.585159566303924,4.66401493083745,5.23346260092819,5.5737232806589,5.99980719022791,6.94871834687708,1.03080735052062,73
"Sigma[4,3]",-10.9135447385368,7.13534330700391,-24.839100729284,-15.6209561109033,-10.8259495622139,-6.15694179263678,3.15539018029196,1.00471189734074,460
"Sigma[5,3]",-3.15795470414185,1.30149929235447,-5.79357820484492,-4.00225564852682,-3.13068808446738,-2.27489624839818,-0.714825147676562,1.02996302987635,72
"Sigma[6,3]",0.911970966829254,0.275855448353398,0.39336321928254,0.718245082230455,0.903610978385096,1.0999743636907,1.46148013549558,1.00905074665338,230
"Sigma[7,3]",0.262623331541929,0.100655815698275,0.0733243144380275,0.19507206258306,0.259661782747838,0.32586232999829,0.477793759186161,1.00252935524739,910
"Sigma[8,3]",0.441305892646427,0.388654768587366,-0.310894012834274,0.177278175719973,0.438153620832374,0.681872514383738,1.24053026142402,1.01248303690601,180
"Sigma[9,3]",4.2852714225337,0.471105442979914,3.50317081872082,3.95422712760266,4.24224697432216,4.57337304127294,5.30646054041567,1.02861880332741,77
"Sigma[10,3]",0.524711249775017,0.266624350511974,0.035481122741091,0.342657746780633,0.51461856704569,0.699631503609002,1.06043917067442,1.01182218596141,180
"Sigma[1,4]",-31.44948217433,8.3352153550449,-48.5349838507218,-36.9782868776409,-31.1486604557734,-25.6903192376615,-16.2334159206853,1.00207572212011,1100
"Sigma[2,4]",7.67589543310712,7.50306771334998,-7.20440914954948,2.53073054560189,7.67175294463666,12.6119461587564,22.7849475855828,1.00861733619784,240
"Sigma[3,4]",-10.9135447385368,7.13534330700391,-24.839100729284,-15.6209561109033,-10.8259495622139,-6.15694179263678,3.15539018029196,1.00471189734074,460
"Sigma[4,4]",1698.91397739273,165.949015328197,1406.34427455253,1583.20156554423,1691.66611069994,1802.16403641364,2038.02887247099,1.00038114227427,2200
"Sigma[5,4]",151.161119591328,23.9240208859709,108.832118907607,134.905406608265,149.452482266501,165.012382508582,202.120148541357,1.00210403172581,1100
"Sigma[6,4]",18.5491684295832,4.85250798141493,9.16237204374421,15.2867713050038,18.3979403452451,21.6760430142915,28.7298667744128,1.00884763430035,240
"Sigma[7,4]",3.14539031146151,1.7219795741775,-0.201549666043853,1.99759644670941,3.11117464507206,4.29193232460594,6.55316048650795,1.00313417341871,950
