"","Percent_025","Percent_975","Time","Approach","Type","value"
"239",8.22680652541902,9.56637340448358,9,"Naive up to 3 lags","Predictions",8.94219920536979
"240",8.22680652541902,9.56637340448358,9,"Naive up to 3 lags","Observed",2
"241",3.86589350385725,4.41328282092907,10,"Naive up to 3 lags","Predictions",4.13058626096126
"242",3.86589350385725,4.41328282092907,10,"Naive up to 3 lags","Observed",14
"243",13.9453688095238,16.3379348656899,11,"Naive up to 3 lags","Predictions",15.1264027777778
"244",13.9453688095238,16.3379348656899,11,"Naive up to 3 lags","Observed",25
"245",18.0217972619048,20.0764104166667,12,"Naive up to 3 lags","Predictions",18.9491615079365
"246",18.0217972619048,20.0764104166667,12,"Naive up to 3 lags","Observed",30
"247",29.6262917857143,32.7903583333333,13,"Naive up to 3 lags","Predictions",31.1385333333333
"248",29.6262917857143,32.7903583333333,13,"Naive up to 3 lags","Observed",14
"249",15.4727116666667,17.1702766666667,14,"Naive up to 3 lags","Predictions",16.351
"250",15.4727116666667,17.1702766666667,14,"Naive up to 3 lags","Observed",44
"251",25.0411341666667,27.2171483333333,15,"Naive up to 3 lags","Predictions",26.2614833333333
"252",25.0411341666667,27.2171483333333,15,"Naive up to 3 lags","Observed",19
"253",22.6369658333333,24.4361296428571,16,"Naive up to 3 lags","Predictions",23.4622333333333
"254",22.6369658333333,24.4361296428571,16,"Naive up to 3 lags","Observed",2
"255",10.0345018333333,11.9397843452381,17,"Naive up to 3 lags","Predictions",11.1908944444444
"256",10.0345018333333,11.9397843452381,17,"Naive up to 3 lags","Observed",3
"257",5.04508751984127,6.08477170634921,18,"Naive up to 3 lags","Predictions",5.45581968864469
"258",5.04508751984127,6.08477170634921,18,"Naive up to 3 lags","Observed",9
"259",15.8502738827839,17.7520592460317,19,"Naive up to 3 lags","Predictions",16.8199376984127
"260",15.8502738827839,17.7520592460317,19,"Naive up to 3 lags","Observed",23
"261",21.9442598809524,23.7989845238095,20,"Naive up to 3 lags","Predictions",22.8462416666667
"262",21.9442598809524,23.7989845238095,20,"Naive up to 3 lags","Observed",7
"263",6.77164833333334,7.87924916666667,21,"Naive up to 3 lags","Predictions",7.22473333333333
"264",6.77164833333334,7.87924916666667,21,"Naive up to 3 lags","Observed",0
"265",4.4544618466256,5.30897951423576,22,"Naive up to 3 lags","Predictions",4.91238883893884
"266",4.4544618466256,5.30897951423576,22,"Naive up to 3 lags","Observed",9
"267",22.0633971350871,25.9191148863637,23,"Naive up to 3 lags","Predictions",24.3178731247511
"268",22.0633971350871,25.9191148863637,23,"Naive up to 3 lags","Observed",0
"269",13.4226538620081,17.7694554728115,24,"Naive up to 3 lags","Predictions",15.8771410769786
"270",13.4226538620081,17.7694554728115,24,"Naive up to 3 lags","Observed",9
"271",12.6510086582453,15.7237550294082,25,"Naive up to 3 lags","Predictions",14.260275960151
"272",12.6510086582453,15.7237550294082,25,"Naive up to 3 lags","Observed",36
"273",42.0821842750714,47.2613629129367,26,"Naive up to 3 lags","Predictions",44.0861023532024
"274",42.0821842750714,47.2613629129367,26,"Naive up to 3 lags","Observed",23
"275",19.1470026190476,21.4859516666667,27,"Naive up to 3 lags","Predictions",20.4672468253968
"276",19.1470026190476,21.4859516666667,27,"Naive up to 3 lags","Observed",0
"277",6.20755351877289,7.80109247710623,28,"Naive up to 3 lags","Predictions",6.94626358543417
"278",6.20755351877289,7.80109247710623,28,"Naive up to 3 lags","Observed",0
"279",6.16970610962867,7.48356073669235,29,"Naive up to 3 lags","Predictions",6.80104737151393
"280",6.16970610962867,7.48356073669235,29,"Naive up to 3 lags","Observed",0
"281",5.18847638338829,6.16761060418812,30,"Naive up to 3 lags","Predictions",5.67507867668107
"282",5.18847638338829,6.16761060418812,30,"Naive up to 3 lags","Observed",1
"283",4.64886930764626,5.61265153734939,31,"Naive up to 3 lags","Predictions",5.11207015859957
"284",4.64886930764626,5.61265153734939,31,"Naive up to 3 lags","Observed",2
"285",3.64782517418028,4.43691426592693,32,"Naive up to 3 lags","Predictions",4.05281696765137
"286",3.64782517418028,4.43691426592693,32,"Naive up to 3 lags","Observed",1
"287",3.78524676206147,4.3533401862392,33,"Naive up to 3 lags","Predictions",4.01995519070283
"288",3.78524676206147,4.3533401862392,33,"Naive up to 3 lags","Observed",3
"289",2.34010780483405,2.91501838023088,34,"Naive up to 3 lags","Predictions",2.6486299963925
"290",2.34010780483405,2.91501838023088,34,"Naive up to 3 lags","Observed",2
"291",4.86429473942724,5.56455211455211,35,"Naive up to 3 lags","Predictions",5.32219566544566
"292",4.86429473942724,5.56455211455211,35,"Naive up to 3 lags","Observed",0
"293",2.78749075334195,3.28762415910478,36,"Naive up to 3 lags","Predictions",3.01360836153758
"294",2.78749075334195,3.28762415910478,36,"Naive up to 3 lags","Observed",0
"295",1.60852542378158,2.08224910414259,37,"Naive up to 3 lags","Predictions",1.84440607948983
"296",1.60852542378158,2.08224910414259,37,"Naive up to 3 lags","Observed",3
"297",4.29761345365744,5.14948942691311,38,"Naive up to 3 lags","Predictions",4.68648030428868
"298",4.29761345365744,5.14948942691311,38,"Naive up to 3 lags","Observed",5
"299",5.04414997443277,5.81400666874684,39,"Naive up to 3 lags","Predictions",5.31308121530173
"300",5.04414997443277,5.81400666874684,39,"Naive up to 3 lags","Observed",4
"301",4.39148230091761,4.95276135947386,40,"Naive up to 3 lags","Predictions",4.64393207511443
"302",4.39148230091761,4.95276135947386,40,"Naive up to 3 lags","Observed",6
"303",4.93589277745131,5.52107473013098,41,"Naive up to 3 lags","Predictions",5.21134788724348
"304",4.93589277745131,5.52107473013098,41,"Naive up to 3 lags","Observed",17
"305",14.2700575471751,15.422005265478,42,"Naive up to 3 lags","Predictions",14.8521889101095
"306",14.2700575471751,15.422005265478,42,"Naive up to 3 lags","Observed",21
"307",16.7436343452381,18.1491557738095,43,"Naive up to 3 lags","Predictions",17.315855952381
"308",16.7436343452381,18.1491557738095,43,"Naive up to 3 lags","Observed",66
"309",28.389556547619,32.2062533333333,44,"Naive up to 3 lags","Predictions",30.6988333333333
"310",28.389556547619,32.2062533333333,44,"Naive up to 3 lags","Observed",24
"311",29.1460466666667,32.6627433333333,45,"Naive up to 3 lags","Predictions",30.6246333333333
"312",29.1460466666667,32.6627433333333,45,"Naive up to 3 lags","Observed",36
"313",24.9011491666667,27.0984508333333,46,"Naive up to 3 lags","Predictions",26.0424
"314",24.9011491666667,27.0984508333333,46,"Naive up to 3 lags","Observed",0
"315",7.01163617081448,9.66674341314546,47,"Naive up to 3 lags","Predictions",8.06664792911337
"316",7.01163617081448,9.66674341314546,47,"Naive up to 3 lags","Observed",0
"317",3.19274353371286,4.24244640872414,48,"Naive up to 3 lags","Predictions",3.77980001514037
"318",3.19274353371286,4.24244640872414,48,"Naive up to 3 lags","Observed",1
"319",3.84390213194748,4.65026054909409,49,"Naive up to 3 lags","Predictions",4.22044708342797
"320",3.84390213194748,4.65026054909409,49,"Naive up to 3 lags","Observed",2
"321",2.54825215001556,3.03460084195624,50,"Naive up to 3 lags","Predictions",2.75594353048493
"322",2.54825215001556,3.03460084195624,50,"Naive up to 3 lags","Observed",0
"323",2.86690907344842,3.18919360438087,51,"Naive up to 3 lags","Predictions",3.0468932043514
"324",2.86690907344842,3.18919360438087,51,"Naive up to 3 lags","Observed",0
